x,y,r,g,b
0,0,120,235,0
1,0,113,239,0
2,0,106,243,0
3,0,99,247,0
4,0,94,249,0
5,0,89,251,0
6,0,84,252,0
7,0,81,253,0
8,0,77,254,0
9,0,75,254,0
10,0,73,255,0
11,0,71,255,0
12,0,70,255,1
13,0,69,255,1
14,0,69,255,2
15,0,68,255,2
16,0,68,255,2
17,0,68,255,2
18,0,68,255,2
19,0,68,255,2
20,0,68,255,2
21,0,68,255,2
22,0,68,255,2
23,0,68,255,2
24,0,68,255,3
25,0,67,255,3
26,0,66,255,4
27,0,65,255,5
28,0,63,255,7
29,0,62,255,9
30,0,60,254,11
31,0,58,254,14
32,0,55,253,17
33,0,53,253,21
34,0,50,251,25
35,0,47,250,30
36,0,44,248,35
37,0,42,246,41
38,0,39,243,48
39,0,37,240,55
40,0,34,237,63
41,0,32,233,71
42,0,30,228,80
43,0,29,224,89
44,0,27,218,97
45,0,26,213,106
46,0,26,207,115
47,0,26,202,124
48,0,26,196,132
49,0,26,190,140
50,0,26,185,148
51,0,27,179,155
52,0,28,174,161
53,0,29,169,167
54,0,30,164,172
55,0,31,160,177
56,0,32,156,181
57,0,33,153,184
58,0,33,150,187
59,0,34,148,189
60,0,34,147,190
61,0,35,146,191
62,0,35,145,192
63,0,35,145,192
64,0,35,146,191
65,0,34,148,190
66,0,34,149,188
67,0,33,152,185
68,0,32,155,182
69,0,31,158,178
70,0,30,162,174
71,0,29,167,169
72,0,28,172,164
73,0,27,177,157
74,0,27,182,150
75,0,26,188,143
76,0,26,194,135
77,0,26,200,126
78,0,26,206,117
79,0,26,212,108
80,0,27,218,98
81,0,29,224,88
82,0,31,230,77
83,0,33,235,67
84,0,36,239,57
85,0,39,244,47
86,0,43,247,38
87,0,48,250,29
88,0,52,252,21
89,0,58,254,13
90,0,64,255,6
91,0,70,255,1
92,0,76,254,0
93,0,83,253,0
94,0,90,251,0
95,0,97,248,0
96,0,105,244,0
97,0,112,240,0
98,0,119,235,0
99,0,127,230,0
100,0,134,224,0
101,0,141,218,0
102,0,148,212,3
103,0,155,206,8
104,0,161,200,14
105,0,167,193,20
106,0,172,187,26
107,0,178,181,32
108,0,182,176,37
109,0,187,170,43
110,0,190,165,48
111,0,194,161,53
112,0,197,157,57
113,0,199,154,61
114,0,201,151,64
115,0,202,149,66
116,0,203,148,68
117,0,204,147,68
118,0,203,147,68
119,0,203,148,67
120,0,201,150,65
121,0,199,153,62
122,0,197,157,58
123,0,193,161,53
124,0,189,166,47
125,0,185,173,40
126,0,179,179,33
127,0,173,187,26
128,0,165,195,18
129,0,157,203,11
130,0,149,212,4
131,0,139,220,0
132,0,129,228,0
133,0,118,236,0
134,0,107,243,0
135,0,96,248,0
136,0,86,252,0
137,0,75,254,0
138,0,65,255,5
139,0,56,254,16
140,0,48,250,29
141,0,41,245,43
142,0,35,238,59
143,0,31,230,76
144,0,28,221,94
145,0,26,211,110
146,0,26,200,127
147,0,26,189,142
148,0,27,179,155
149,0,29,169,167
150,0,31,159,177
151,0,33,151,186
152,0,35,145,193
153,0,37,139,198
154,0,39,135,201
155,0,40,132,204
156,0,40,131,205
157,0,40,131,204
158,0,39,133,203
159,0,38,137,200
0,1,117,237,0
1,1,110,241,0
2,1,105,244,0
3,1,99,247,0
4,1,95,249,0
5,1,91,250,0
6,1,88,251,0
7,1,85,252,0
8,1,83,253,0
9,1,82,253,0
10,1,81,253,0
11,1,80,253,0
12,1,80,254,0
13,1,80,254,0
14,1,80,253,0
15,1,81,253,0
16,1,81,253,0
17,1,82,253,0
18,1,82,253,0
19,1,83,253,0
20,1,83,253,0
21,1,83,253,0
22,1,83,253,0
23,1,83,253,0
24,1,82,253,0
25,1,81,253,0
26,1,79,254,0
27,1,77,254,0
28,1,75,254,0
29,1,73,255,0
30,1,70,255,1
31,1,67,255,3
32,1,63,255,7
33,1,60,254,11
34,1,56,254,16
35,1,52,252,21
36,1,49,251,27
37,1,45,249,34
38,1,41,246,42
39,1,38,242,50
40,1,35,238,59
41,1,33,234,69
42,1,30,229,78
43,1,29,224,88
44,1,27,218,99
45,1,26,212,109
46,1,26,205,118
47,1,26,199,128
48,1,26,192,137
49,1,26,186,146
50,1,27,180,154
51,1,28,173,161
52,1,29,168,168
53,1,30,162,174
54,1,31,157,180
55,1,33,153,184
56,1,34,149,188
57,1,35,146,191
58,1,36,143,194
59,1,36,141,196
60,1,37,139,198
61,1,37,138,198
62,1,37,138,199
63,1,37,138,198
64,1,37,139,198
65,1,37,141,196
66,1,36,143,194
67,1,35,145,192
68,1,34,148,189
69,1,33,152,185
70,1,32,156,181
71,1,31,161,176
72,1,29,166,170
73,1,28,171,164
74,1,27,177,157
75,1,26,183,150
76,1,26,189,142
77,1,26,195,134
78,1,26,201,125
79,1,26,207,115
80,1,26,213,106
81,1,28,219,96
82,1,29,225,86
83,1,31,230,76
84,1,33,235,66
85,1,36,240,56
86,1,40,244,46
87,1,44,247,37
88,1,48,250,29
89,1,53,253,21
90,1,58,254,13
91,1,63,255,7
92,1,69,255,1
93,1,75,254,0
94,1,82,253,0
95,1,88,251,0
96,1,95,249,0
97,1,102,245,0
98,1,109,242,0
99,1,116,237,0
100,1,123,233,0
101,1,130,228,0
102,1,137,222,0
103,1,143,217,0
104,1,150,211,5
105,1,156,205,9
106,1,162,199,15
107,1,167,193,20
108,1,172,187,25
109,1,177,182,31
110,1,181,177,36
111,1,185,172,41
112,1,189,167,46
113,1,192,163,51
114,1,195,159,54
115,1,197,156,58
116,1,199,154,60
117,1,200,152,62
118,1,201,151,64
119,1,201,151,64
120,1,201,151,63
121,1,200,153,62
122,1,198,155,60
123,1,196,158,57
124,1,193,161,52
125,1,190,166,47
126,1,186,171,42
127,1,181,178,35
128,1,175,184,28
129,1,168,192,21
130,1,161,200,14
131,1,153,208,7
132,1,144,216,0
133,1,134,224,0
134,1,124,232,0
135,1,113,239,0
136,1,102,245,0
137,1,91,250,0
138,1,81,253,0
139,1,71,255,0
140,1,61,255,9
141,1,52,252,21
142,1,45,248,35
143,1,38,243,50
144,1,33,235,66
145,1,30,227,83
146,1,27,217,100
147,1,26,207,116
148,1,26,196,132
149,1,26,186,146
150,1,27,176,158
151,1,29,167,169
152,1,31,159,178
153,1,33,152,185
154,1,35,146,191
155,1,36,142,195
156,1,37,139,198
157,1,37,138,199
158,1,37,138,198
159,1,37,140,197
0,2,115,238,0
1,2,110,241,0
2,2,105,244,0
3,2,101,246,0
4,2,98,247,0
5,2,95,249,0
6,2,93,249,0
7,2,92,250,0
8,2,91,250,0
9,2,91,250,0
10,2,91,250,0
11,2,91,250,0
12,2,92,250,0
13,2,93,250,0
14,2,94,249,0
15,2,95,249,0
16,2,96,248,0
17,2,97,248,0
18,2,98,247,0
19,2,98,247,0
20,2,99,247,0
21,2,98,247,0
22,2,98,247,0
23,2,97,248,0
24,2,96,248,0
25,2,94,249,0
26,2,92,250,0
27,2,89,251,0
28,2,86,252,0
29,2,82,253,0
30,2,78,254,0
31,2,74,255,0
32,2,69,255,1
33,2,65,255,6
34,2,60,254,11
35,2,55,253,17
36,2,50,252,24
37,2,46,249,32
38,2,42,246,41
39,2,38,242,51
40,2,35,238,61
41,2,32,233,72
42,2,30,227,83
43,2,28,221,94
